Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Msa,"Ogden, UT",UT,,,2022-09-30,19.9
Msa,"Ogdensburg, NY",NY,,,2022-09-30,21.2
Msa,"Oil City, PA",PA,,,2022-09-30,12.0
Msa,"Okeechobee, FL",FL,,,2022-09-30,8.9
Msa,"Oklahoma City, OK",OK,,,2022-09-30,11.9
Msa,"Olean, NY",NY,,,2022-09-30,11.8
Msa,"Olympia, WA",WA,,,2022-09-30,16.3
Msa,"Omaha, NE",NE,,,2022-09-30,12.5
Msa,"Oneonta, NY",NY,,,2022-09-30,10.7
Msa,"Opelousas, LA",LA,,,2022-09-30,16.6
Msa,"Orlando, FL",FL,,,2022-09-30,15.8
Msa,"Oshkosh, WI",WI,,,2022-09-30,13.5
Msa,"Ottawa, IL",IL,,,2022-09-30,12.0
Msa,"Owatonna, MN",MN,,,2022-09-30,11.6
Msa,"Owensboro, KY",KY,,,2022-09-30,15.0
Msa,"Owosso, MI",MI,,,2022-09-30,9.6
Msa,"Oxford, MS",MS,,,2022-09-30,10.1
Msa,"Oxford, NC",NC,,,2022-09-30,19.5
Msa,"Pahrump, NV",NV,,,2022-09-30,16.2
Msa,"Palatka, FL",FL,,,2022-09-30,17.4
Msa,"Panama City, FL",FL,,,2022-09-30,16.8
Msa,"Paragould, AR",AR,,,2022-09-30,13.3
Msa,"Paris, TX",TX,,,2022-09-30,16.8
Msa,"Parkersburg, WV",WV,,,2022-09-30,11.7
Msa,"Parsons, KS",KS,,,2022-09-30,15.0
